Run,Alpha,Cl,Cd
1,-9,-0.5693,0.10116
2,-8.75,-0.7142,0.07868
3,-8.5,-0.7137,0.07346
4,-8.25,-0.7642,0.06347
5,-8,-0.7681,0.05866
6,-7.75,-0.7702,0.05414
7,-7.5,-0.7678,0.04985
8,-7.25,-0.7586,0.0457
9,-7,-0.7428,0.04225
10,-6.75,-0.729,0.03964
11,-6.5,-0.7134,0.03689
12,-6.25,-0.6942,0.03431
13,-6,-0.6744,0.03181
14,-5.75,-0.6537,0.03001
15,-5.5,-0.6311,0.02822
16,-5.25,-0.6064,0.02638
17,-5,-0.5831,0.02481
18,-4.75,-0.5614,0.0233
19,-4.5,-0.5414,0.02154
20,-4.25,-0.5291,0.01998
21,-4,-0.5177,0.01915
22,-3.75,-0.5027,0.01887
23,-3.5,-0.4803,0.01909
24,-3.25,-0.4247,0.02039
25,-3,-0.297,0.02197
26,-2.75,-0.1843,0.02164
27,-2.5,-0.0912,0.0203
28,-2.25,-0.083,0.01956
29,-2,-0.0746,0.01894
30,-1.75,-0.0661,0.01842
31,-1.5,-0.0574,0.018
32,-1.25,-0.0485,0.01766
33,-1,-0.0393,0.01739
34,-0.75,-0.0297,0.01719
35,-0.5,-0.0199,0.01705
36,-0.25,-0.01,0.01696
37,0,0,0.01694
38,0.25,0.01,0.01696
39,0.5,0.0199,0.01704
40,0.75,0.0297,0.01718
41,1,0.0393,0.01739
42,1.25,0.0485,0.01765
43,1.5,0.0574,0.018
44,1.75,0.0661,0.01842
45,2,0.0747,0.01894
46,2.25,0.0831,0.01956
47,2.5,0.0913,0.0203
48,2.75,0.1843,0.02163
49,3,0.2974,0.02197
50,3.25,0.4247,0.02038
51,3.5,0.4803,0.01909
52,3.75,0.5026,0.01887
53,4,0.5176,0.01915
54,4.25,0.5291,0.01998
55,4.5,0.5413,0.02154
56,4.75,0.5613,0.0233
57,5,0.583,0.02481
58,5.25,0.6063,0.02638
59,5.5,0.6311,0.02822
60,5.75,0.6536,0.03001
61,6,0.6744,0.03181
62,6.25,0.6942,0.03431
63,6.5,0.7133,0.03689
64,6.75,0.7289,0.03964
65,7,0.7428,0.04226
66,7.25,0.759,0.04572
67,7.5,0.7679,0.04985
68,7.75,0.7707,0.05416
69,8,0.7677,0.05871
70,8.25,0.7649,0.06348
71,8.5,0.726,0.07196
72,8.75,0.6992,0.08127
73,9,0.5669,0.10116
